(-0.013349,0.112839)
(-1.146769,1.388851)
(1.695613,0.916956)
(-0.114417,-0.432151)
(-1.126943,0.724208)
(-0.454477,-0.147214)
(0.447623,0.043852)
(0.794306,-2.376359)
(1.564345,-0.000473)
(0.272220,-0.540771)
(0.961419,0.461788)
(0.588030,1.392979)
(0.074715,0.166172)
(2.237190,-1.473040)
(-1.285989,-1.499226)
(0.252684,0.532279)
(-1.846939,1.770792)
(0.146378,-1.234262)
(0.118292,0.831110)
(0.447096,0.424333)
(1.244240,0.500604)
(1.301097,0.740540)
(-0.643739,-0.212589)
(0.868093,-0.092539)
(-1.815602,-0.223393)
(0.006303,-0.228990)
(-0.953584,-1.149371)
(-0.305064,-1.112448)
(0.533251,-1.097025)
(0.638517,-0.738596)
(0.435630,-0.763772)
(-1.104987,0.163624)
(-1.086484,-0.801581)
(-0.855857,-0.634313)
(-1.345645,0.097401)
(0.221212,-0.286072)
(2.302021,1.361736)
(0.317275,0.612549)
(0.653565,0.894665)
(0.729324,-0.431133)
(-0.699698,1.328652)
(1.879458,0.608532)
(0.664949,0.069437)
(-0.415270,0.595941)
(-0.667476,1.412930)
(0.558603,0.224782)
(0.604908,-0.462936)
(-0.860058,1.287635)
(0.978247,-0.617350)
(1.329350,-0.425080)
(0.461301,1.043075)
(0.845007,0.811291)
(-1.737791,-1.454681)
(-0.118272,0.184325)
(0.250025,-1.275517)
(1.139982,-0.679154)
(-1.693970,-0.197508)
(0.030621,1.547124)
(-0.972519,-0.585820)
(-1.285350,-1.575348)
(0.593460,-0.155364)
(1.654152,1.311596)
(0.365055,0.047302)
(0.315248,1.572523)
(-1.122259,-1.542720)
(0.018291,0.022889)
(1.337528,0.238352)
(0.326793,-1.766400)
(-0.895713,-0.250536)
(1.530401,-1.806944)
(-0.173979,-1.881463)
(-0.341934,-1.166603)
(0.157489,-0.682543)
(-0.993896,-0.649329)
(-0.027144,-0.957632)
(0.547723,-0.887252)
(-1.650890,0.711033)
(0.904056,0.603316)
(0.506373,-1.051181)
(1.952097,-1.133758)
(1.218122,-1.272403)
(-0.454093,0.256307)
(1.167194,0.851244)
(0.159752,-0.627908)
(0.185333,1.443419)
(0.018701,-0.927743)
(-0.033492,-0.672983)
(-0.006252,-1.059263)
(-0.723351,0.321169)
(0.382709,-1.481068)
(-1.473518,1.615985)
(0.264794,-0.222179)
(1.304551,0.732149)
(1.152887,-0.928838)
(0.964861,-1.109360)
(-0.185035,-0.918022)
(-2.272497,-0.743721)
(-0.894899,1.971443)
(-0.150652,-0.799518)
(-1.133430,-0.303542)
(0.886764,0.040994)
(-0.412560,0.484452)
(-0.366646,0.577360)
(0.977620,2.078976)
(-0.133364,0.305757)
(0.372376,-0.679684)
(-1.248217,0.439630)
(0.548162,-0.512538)
(2.057950,-0.584545)
(0.780128,0.642059)
(0.913076,-1.388263)
(-0.308544,-0.833008)
(0.433079,0.057375)
(2.475922,-0.167168)
(0.944802,-0.853440)
(-1.831579,0.115104)
(-1.465631,-0.265769)
(-0.448003,-1.770416)
(0.078591,-1.747618)
(-0.295063,0.061056)
(-0.455391,-1.348450)
(-1.073631,-1.172741)
(0.475657,-0.898438)
(0.536964,0.249594)
(0.492002,-0.221624)
(0.754244,2.379588)
(-1.876457,-2.565528)
(0.025900,-0.858864)
(-0.526806,0.793251)
(-0.229655,-0.419816)
(0.303443,1.475339)
(-1.069148,0.735823)
(1.039820,0.179379)
(-0.265259,0.087227)
(0.437385,0.450833)
(0.830761,-1.859095)
(0.166755,-0.580472)
(-0.696640,-0.254424)
(0.682146,-0.361368)
(-0.480771,-0.261130)
(-2.639195,-0.051622)
(1.665802,-1.356773)
(0.974980,-0.176523)
(-0.467867,-1.290452)
(0.112393,-0.448946)
(0.060756,-0.181585)
(-0.705533,0.133037)
(0.335420,0.565960)
(0.841056,0.374225)
(0.985205,0.532615)
(-1.312202,0.122211)
(0.796448,-0.940480)
(0.151042,-0.207141)
(0.096249,-0.133290)
(-1.174682,-0.382097)
(0.755808,1.489975)
(-0.635856,0.339951)
(-1.850108,-1.071296)
(-0.600763,-3.137926)
(0.642829,-0.279608)
(-0.165653,0.949340)
(2.132499,-0.300423)
(1.379726,-0.759571)
(-0.509276,0.782255)
(0.144863,1.555018)
(-0.876520,-1.939491)
(0.056864,1.192993)
(-1.262914,-0.625442)
(-0.865146,-0.179701)
(0.524942,0.578758)
(0.965067,-0.200961)
(0.333457,-0.788712)
(-1.247456,0.776679)
(-0.474237,0.551608)
(0.405448,-0.078438)
(-0.108026,-0.482338)
(0.568838,-0.976172)
(1.040071,-0.056561)
(-0.306742,1.161856)
(-0.012576,-0.983696)
(-2.192417,2.696813)
(-0.650404,-0.418687)
(-0.717124,-1.858425)
(-0.671536,-0.561653)
(1.749949,-0.673676)
(-1.005960,1.471336)
(0.653459,0.099292)
(1.031880,-1.536160)
(-0.929012,0.328646)
(-0.946273,0.259297)
(0.147999,-1.886067)
(0.875535,0.901102)
(0.771006,-0.572732)
(0.595836,-1.498759)
(-0.978538,-1.211753)
(-0.211029,0.820948)
(-1.000471,1.213227)
(-1.643147,0.921414)
(-0.334824,0.196678)
(-1.753513,-0.449012)
(-0.200754,-0.118794)
(-1.223231,-0.332914)
(-1.003919,0.860572)
(-0.642045,-0.556322)
(0.451555,-0.486291)
(-0.945975,-0.981092)
(0.084776,1.025815)
(1.016665,0.737451)
(-0.721237,0.238259)
(1.686915,0.004803)
(0.923923,-0.609344)
(-0.589268,-1.663641)
(0.953398,-0.796519)
(1.238655,-0.691286)
(1.106599,-0.914389)
(-0.157378,0.021350)
(-1.023668,-0.588044)
(1.157637,-1.958513)
(0.917669,-0.367415)
(-0.819223,-0.361223)
(0.530853,-0.810407)
(0.570807,-0.381711)
(-0.582014,0.954963)
(-0.379847,1.239467)
(-0.231731,1.845135)
(-1.342901,0.635798)
(1.827396,-0.796381)
(0.837147,0.269439)
(0.917043,1.426983)
(-1.594641,-0.045693)
(-0.159148,0.351504)
(0.668722,0.016610)
(-1.169778,-0.884507)
(-2.716840,-0.073470)
(0.433349,-0.138185)
(-0.083871,-1.156420)
(0.501796,-0.843352)
(0.439539,1.112064)
(-0.959416,-0.773492)
(-1.051017,0.386814)
(-0.011391,1.491426)
(0.561733,0.724290)
(-1.329976,0.539677)
(3.165635,-0.080598)
(-2.788113,1.901682)
(-2.199208,0.495094)
(-1.859198,0.520732)
(-1.443566,0.059506)
(0.479529,-0.605695)
(-0.732124,0.705655)
(-0.495935,-1.191152)
(-2.318184,-0.695068)
(1.270170,-1.180619)
(1.059175,-2.088053)
(-1.667525,0.832468)
(-0.925955,1.660407)
(-0.809550,0.743358)
(-0.097090,-0.016250)
(-0.701587,-1.177312)
(0.357615,1.914780)
(0.257593,-0.534022)
(-1.687115,0.837313)
(-0.192793,-1.513200)
(-1.405462,0.612287)
(0.389336,0.403324)
(2.198100,-0.147956)
(0.937766,-1.927307)
(-2.335040,0.373010)
(0.553360,-0.049831)
(-0.037459,0.070787)
(-0.909959,0.190019)
(0.955278,1.133286)
(0.974527,1.411236)
(-0.952372,-0.407396)
(0.983350,-2.875427)
(0.443341,1.831230)
(-0.137138,1.009735)
(0.785620,-0.923708)
(-1.438156,0.130017)
(1.330926,0.100664)
(-0.621492,-0.236702)
(-0.547681,0.572484)
(-0.810292,1.263293)
(-1.430837,-0.309326)
(-0.247607,-1.962265)
(0.655771,1.302466)
(0.067565,-0.619859)
(0.655697,0.931206)
(0.735221,0.714967)
(-1.223626,1.852934)
(0.025375,0.584397)
(-1.148076,1.291065)
(1.248946,0.463351)
(0.643477,-0.206098)
(-0.420728,-0.908729)
(0.084043,-0.485993)
(0.786055,0.417341)
(-0.863847,-0.549624)
(1.726834,-0.495385)
(-0.267161,-0.884902)
(0.432043,0.438055)
(0.481030,1.510012)
(-0.034547,-0.538270)
(-0.354273,-0.067298)
(-1.051287,-1.324464)
(-0.940248,0.584038)
(0.219909,-0.431287)
(1.174067,0.491105)
(-0.025023,0.226876)
(-0.109948,0.615657)
(0.136642,0.080114)
(-0.840194,-1.080656)
(-0.258174,-0.023535)
(-0.705402,0.150083)
(0.183237,-1.464506)
(0.067334,-0.296907)
(-0.818043,-1.800671)
(0.552299,-0.193705)
(0.150644,0.234706)
(0.136440,0.312188)
(-0.208185,1.825019)
(-1.065659,-0.091828)
(-2.134673,-0.012107)
(1.310186,0.822440)
(2.428535,-0.152370)
(-0.683885,-0.405902)
(1.107529,-0.571226)
(0.578677,0.294308)
(0.339904,-0.829813)
(-0.938037,0.120141)
(-0.129372,0.952015)
(-0.092241,0.789131)
(1.651959,-1.338609)
(0.338084,1.153846)
(-0.001879,0.301258)
(0.537179,-0.610531)
(0.333268,-1.244942)
(-0.607628,0.648232)
(0.677195,1.699406)
(-0.919862,-1.110997)
(-0.021133,-0.986211)
(-0.663455,-0.169035)
(0.195526,1.012167)
(-0.415968,0.939182)
(1.000022,-1.043025)
(1.484549,-1.346392)
(1.427163,-0.528298)
(-0.730642,-1.680618)
(0.559505,0.280902)
(1.984179,-0.422254)
(-1.855240,1.440172)
(0.157984,-0.780672)
(-0.945743,1.019829)
(-0.469155,0.412447)
(0.718953,0.659979)
(-1.287473,0.762440)
(-0.065000,0.259533)
(0.872165,-1.700273)
(0.316862,1.198065)
(0.412282,1.032881)
(1.245251,1.696725)
(-1.055483,0.069063)
(0.238097,0.033653)
(0.446503,-1.675541)
(2.021711,-1.049494)
(-0.328552,-0.098406)
(-2.473233,0.068692)
(0.398432,-1.918816)
(0.814400,-1.464952)
(-0.674265,1.846300)
(-0.132358,-1.331104)
(-1.059247,0.357371)
(-1.977253,0.272105)
(0.821195,-1.845000)
(1.399857,0.599772)
(-0.293693,0.129260)
(-0.076876,-2.662841)
(-0.259789,0.120420)
(0.555874,-0.290407)
(0.655546,-0.058641)
(-0.763065,-0.325250)
(-0.525949,-1.876743)
(0.696111,-1.373026)
(-0.274276,-2.177067)
(1.074759,-0.811799)
(1.223808,-0.345578)
(-0.527003,-1.165983)
(-0.059000,0.702074)
(-0.659510,-0.192837)
(0.068046,1.417931)
(-0.685554,-0.685021)
(-1.319124,1.324176)
(-1.156701,0.957286)
(0.434525,1.106159)
(-0.459647,-0.146424)
(-0.764033,0.567476)
(0.182579,-0.044018)
(0.104649,-0.869450)
(-0.132156,0.227978)
(0.128449,0.379764)
(-2.038917,0.836909)
(1.242376,0.375653)
(-0.154171,-0.767690)
(0.305588,0.134488)
(-0.800690,-0.940565)
(-1.197634,-2.079648)
(0.512669,0.681746)
(-0.319107,0.514853)
(0.028831,-0.653456)
(-2.025334,-0.577626)
(1.654321,0.441595)
(-0.663215,-2.669594)
(-0.450988,0.512412)
(0.173989,-0.198058)
